BKIndex;Flag;FKS;AP;BGrp;BFeld;Sortierung;Status;Beschreibung;Beschreibung_W;geaendert;Beschreibung_MW;BAKLALT;BAGRALT;BAKL;BAGR;Ebene1;Ebene2;Ebene3;Flag_APOBK
20;3;117;00;S;SG;40;Ausgelaufen;BV/Sozial- und Gesundheitswesen;BV/Sozial- und Gesundheitswesen;2016-01-29 15:41:36;BV/Sozial- und Gesundheitswesen;**;****;82;********;**;**;**;3
20;3;118;00;T;TB;40;Ausgelaufen;BV/Textiltechnik und Bekleidung;BV/Textiltechnik und Bekleidung;2016-01-29 15:41:39;BV/Textiltechnik und Bekleidung;**;****;28;********;**;**;**;3
20;3;119;00;T;VT;40;Ausgelaufen;BV/Vermessungstechnik;BV/Vermessungstechnik;2016-01-29 15:41:41;BV/Vermessungstechnik;**;****;31;********;**;**;**;3
20;3;120;00;W;WV;40;Ausgelaufen;BV/Wirtschaft und Verwaltung;BV/Wirtschaft und Verwaltung;2016-01-29 15:41:44;BV/Wirtschaft und Verwaltung;**;****;71;********;**;**;**;3
20;3;999;00;X;XX;50;noch ohne Schlüssel;BV/Sonstiger Bildungsgang;BV/Sonstiger Bildungsgang;2015-08-24 14:57:34;BV/Sonstiger Bildungsgang;**;****;*****;********;**;**;**;3
30;3;101;00;A;AW;60;Ausgelaufen;BG/Agrarwirtschaft;BG/Agrarwirtschaft;2016-01-29 15:41:47;BG/Agrarwirtschaft;**;****;11;********;**;**;**;3
30;3;102;00;T;BT;60;Ausgelaufen;BG/Bautechnik;BG/Bautechnik;2016-01-29 15:41:50;BG/Bautechnik;**;****;32;********;**;**;**;3
30;3;103;00;T;CP;60;Ausgelaufen;BG/Chemie,Physik,Biologie;BG/Chemie,Physik,Biologie;2015-01-05 11:18:45;BG/Chemie,Physik,Biologie;**;****;23;********;**;**;**;3
30;3;104;00;T;DT;60;Ausgelaufen;BG/Drucktechnik;BG/Drucktechnik;2016-01-29 15:41:56;BG/Drucktechnik;**;****;23;********;**;**;**;3
30;3;105;00;T;ET;60;Ausgelaufen;BG/Elektrotechnik;BG/Elektrotechnik;2016-01-29 15:41:59;BG/Elektrotechnik;**;****;26;********;**;**;**;3
30;3;106;00;E;EH;60;Ausgelaufen;BG/Ernährung und Hauswirtschaft;BG/Ernährung und Hauswirtschaft;2016-01-29 15:42:01;BG/Ernährung und Hauswirtschaft;**;****;83;********;**;**;**;3
30;3;122;00;T;FT;60;Ausgelaufen;BG/Fahrzeugtechnik;BG/Fahrzeugtechnik;2016-01-29 15:45:19;BG/Fahrzeugtechnik;**;****;25;********;**;**;**;3
30;3;107;00;G;FR;60;Ausgelaufen;BG/Farbtechnik und Raumgestaltung;BG/Farbtechnik und Raumgestaltung;2016-01-29 15:42:02;BG/Farbtechnik und Raumgestaltung;**;****;33;********;**;**;**;3
30;3;108;00;T;HT;60;Ausgelaufen;BG/Holztechnik;BG/Holztechnik;2016-01-29 15:42:05;BG/Holztechnik;**;****;22;********;**;**;**;3
30;3;109;00;T;IT;60;Ausgelaufen;BG/Informationstechnik;BG/Informationstechnik;2016-01-29 15:42:10;BG/Informationstechnik;**;****;43;********;**;**;**;3
30;3;110;00;S;KP;60;Ausgelaufen;BG/Körperpflege;BG/Körperpflege;2016-01-29 15:42:13;BG/Körperpflege;**;****;82;********;**;**;**;3
30;3;111;00;A;LH;60;Ausgelaufen;BG/Land- u. Hauswirtschaft;BG/Land- u. Hauswirtschaft;2015-01-05 11:19:50;BG/Land- u. Hauswirtschaft;**;****;*****;********;**;**;**;3
30;3;112;00;T;MM;60;Ausgelaufen;BG/Medien;BG/Medien;2016-01-29 15:42:16;BG/Medien;**;****;23;********;**;**;**;3
30;3;113;00;T;MZ;60;Ausgelaufen;BG/Medizintechnik;BG/Medizintechnik;2016-01-29 15:42:19;BG/Medizintechnik;**;****;82;********;**;**;**;3
30;3;114;00;T;MT;60;Ausgelaufen;BG/Metalltechnik;BG/Metalltechnik;2016-01-29 15:42:23;BG/Metalltechnik;**;****;24;********;**;**;**;3
30;3;115;00;O;OH;60;Ausgelaufen;BG/ohne Schwerpunkt;BG/ohne Schwerpunkt;2015-01-05 11:20:22;BG/ohne Schwerpunkt;**;****;*****;********;**;**;**;3
30;3;116;00;T;CP;60;Ausgelaufen;BG/Physik,Chemie,Biologie;BG/Physik,Chemie,Biologie;2016-01-29 15:42:26;BG/Physik,Chemie,Biologie;**;****;41;********;**;**;**;3
30;3;117;00;S;SG;60;Ausgelaufen;BG/Sozial- und Gesundheitswesen;BG/Sozial- und Gesundheitswesen;2016-01-29 15:44:23;BG/Sozial- und Gesundheitswesen;**;****;82;********;**;**;**;3
30;3;118;00;T;TB;60;Ausgelaufen;BG/Textiltechnik und Bekleidung;BG/Textiltechnik und Bekleidung;2016-01-29 15:44:26;BG/Textiltechnik und Bekleidung;**;****;28;********;**;**;**;3
30;3;119;00;T;VK;60;Ausgelaufen;BG/Verkehrstechnik;BG/Verkehrstechnik;2015-01-05 11:20:30;BG/Verkehrstechnik;**;****;*****;********;**;**;**;3
30;3;120;00;T;VT;60;Ausgelaufen;BG/Vermessungstechnik;BG/Vermessungstechnik;2016-01-29 15:45:14;BG/Vermessungstechnik;**;****;31;********;**;**;**;3
30;3;121;00;W;WV;60;Ausgelaufen;BG/Wirtschaft und Verwaltung;BG/Wirtschaft und Verwaltung;2016-01-29 15:45:15;BG/Wirtschaft und Verwaltung;**;****;71;********;**;**;**;3
30;3;999;00;X;XX;70;noch ohne Schlüssel;BG/Sonstiger Bildungsgang;BG/Sonstiger Bildungsgang;2015-08-24 14:57:40;BG/Sonstiger Bildungsgang;**;****;*****;********;**;**;**;3
40;3;101;01;A;AW;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Agrarwirtschaft;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Agrarwirtschaft;2016-01-29 15:45:42;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Agrarwirtschaft;**;****;*****;********;**;**;**;3
40;3;101;02;T;BT;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Bautechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Bautechnik;2016-01-29 15:45:44;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Bautechnik;**;****;*****;********;**;**;**;3
40;3;101;03;T;DT;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Drucktechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Drucktechnik;2016-01-29 15:45:46;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Drucktechnik;**;****;*****;********;**;**;**;3
40;3;101;04;T;ET;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Elektrotechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Elektrotechnik;2016-01-29 15:45:48;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Elektrotechnik;**;****;*****;********;**;**;**;3
40;3;101;05;E;EH;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Ernährung und Hauswirtschaft;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Ernährung und Hauswirtschaft;2016-01-29 15:45:50;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Ernährung u. Hauswirtschaft;**;****;*****;********;**;**;**;3
40;3;101;18;T;FT;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Fahrzeugtechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Fahrzeugtechnik;2016-01-29 15:46:21;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Fahrzeugtechnik;**;****;*****;********;**;**;**;3
40;3;101;06;G;FR;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Farbtechnik und Raumgestaltung;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Farbtechnik und Raumgestaltung;2016-01-29 15:45:52;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Farbtechnik u. Raumgestaltung;**;****;*****;********;**;**;**;3
40;3;101;07;T;HT;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Holztechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Holztechnik;2016-01-29 15:45:55;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Holztechnik;**;****;*****;********;**;**;**;3
40;3;101;08;T;IT;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Informations- u. Telekomm.technik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Informations- u. Telekomm.technik;2016-01-29 15:45:57;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Informations- u. Telekomm.technik;**;****;*****;********;**;**;**;3
40;3;101;09;S;KP;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Körperpflege;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Körperpflege;2016-01-29 15:45:59;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Körperpflege;**;****;*****;********;**;**;**;3
40;3;101;21;G;FR;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Kunst, Musik, Gestaltung;Schülerinnen mit Arbeitsverhältnis und Praktikanten - Kunst, Musik, Gestaltung;2015-01-05 11:21:26;Schüler/-innen mit Arbeitsverhältnis und Praktikanten/Praktikantinnen - Kunst, Musik, Gestaltung;**;****;*****;********;**;**;**;3
40;3;101;22;A;LH;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Land- u. Hauswirtschaft;Schülerinnen mit Arbeitsverhältnis und Praktikanten - Land- u. Hauswirtschaft;2015-01-05 11:21:27;Schüler/-innen mit Arbeitsverhältnis und Praktikanten/Praktikantinnen - Land- u. Hauswirtschaft;**;****;*****;********;**;**;**;3
40;3;101;10;T;MM;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Medien/Medientechnologie;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Medien/Medientechnologie;2016-01-29 15:46:01;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Medien/Medientechnologie;**;****;*****;********;**;**;**;3
40;3;101;11;T;MZ;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Medizintechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Medizintechnik;2016-01-29 15:46:03;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Medizintechnik;**;****;*****;********;**;**;**;3
40;3;101;12;T;MT;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Metalltechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Metalltechnik;2016-01-29 15:46:05;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Metalltechnik;**;****;*****;********;**;**;**;3
40;3;101;23;O;OH;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - ohne Schwerpunkt;Schülerinnen mit Arbeitsverhältnis und Praktikanten - ohne Schwerpunkt;2015-01-05 11:21:31;Schüler/-innen mit Arbeitsverhältnis und Praktikanten/Praktikantinnen - ohne Schwerpunkt;**;****;*****;********;**;**;**;3
40;3;101;13;T;CP;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Physik, Chemie, Biologie;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Physik, Chemie, Biologie;2016-01-29 15:46:10;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Physik, Chemie, Biologie;**;****;*****;********;**;**;**;3
40;3;101;14;S;SG;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Sozial- u. Gesundheitswesen;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Sozial- u. Gesundheitswesen;2016-01-29 15:46:12;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Sozial- u. Gesundheitswesen;**;****;*****;********;**;**;**;3
40;3;101;15;T;TB;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Textiltechnik u. Bekleidung;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Textiltechnik u. Bekleidung;2016-01-29 15:46:14;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Textiltechnik u. Bekleidung;**;****;*****;********;**;**;**;3
40;3;101;16;T;VT;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Vermessungstechnik;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Vermessungstechnik;2016-01-29 15:46:16;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Vermessungstechnik;**;****;*****;********;**;**;**;3
40;3;101;17;W;WV;80;Ausgelaufen;Schüler mit Arbeitsverhältnis und Praktikanten - Wirtschaft und Verwaltung;Schülerinnen mit Arbeitsverhältnis und Praktikantinnen - Wirtschaft und Verwaltung;2016-01-29 15:46:19;Schüler/-innen mit Arbeitsverh. u. Praktikanten/Praktikantinnen - Wirtschaft u. Verwaltung;**;****;*****;********;**;**;**;3
40;3;102;01;A;AW;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Agrarwirtschaft;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Agrarwirtschaft;2016-01-29 15:48:47;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Agrarwirtschaft;**;****;*****;********;**;**;**;3
40;3;102;02;T;BT;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Bautechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Bautechnik;2016-01-29 15:48:50;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Bautechnik;**;****;*****;********;**;**;**;3
40;3;102;03;T;DT;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Drucktechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Drucktechnik;2016-01-29 15:48:52;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Drucktechnik;**;****;*****;********;**;**;**;3
40;3;102;04;T;ET;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Elektrotechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Elektrotechnik;2016-01-29 15:48:55;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Elektrotechnik;**;****;*****;********;**;**;**;3
40;3;102;05;E;EH;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Ernährung und Hauswirtschaft;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Ernährung und Hauswirtschaft;2016-01-29 15:48:57;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Ernährung und Hauswirtschaft;**;****;*****;********;**;**;**;3
40;3;102;18;T;FT;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Fahrzeugtechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Fahrzeugtechnik;2016-01-29 15:49:31;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Fahrzeugtechnik;**;****;*****;********;**;**;**;3
40;3;102;06;G;FR;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Farbtechnik u.Raumgestaltung;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Farbtechnik u.Raumgestaltung;2016-01-29 15:48:59;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Farbtechnik u.Raumgestaltung;**;****;*****;********;**;**;**;3
40;3;102;07;T;HT;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Holztechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Holztechnik;2016-01-29 15:49:01;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Holztechnik;**;****;*****;********;**;**;**;3
40;3;102;08;T;IT;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Informations- u. Telekomm.technik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Informations- u. Telekomm.technik;2016-01-29 15:49:05;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Informations- u. Telekomm.technik;**;****;*****;********;**;**;**;3
40;3;102;09;S;KP;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Körperpflege;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Körperpflege;2016-01-29 15:49:07;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Körperpflege;**;****;*****;********;**;**;**;3
40;3;102;10;T;MM;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Medien/Medientechnologie;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Medien/Medientechnologie;2016-01-29 15:49:10;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Medien/Medientechnologie;**;****;*****;********;**;**;**;3
40;3;102;11;T;MZ;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Medizintechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Medizintechnik;2016-01-29 15:49:12;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Medizintechnik;**;****;*****;********;**;**;**;3
40;3;102;12;T;MT;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Metalltechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Metalltechnik;2016-01-29 15:49:14;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Metalltechnik;**;****;*****;********;**;**;**;3
40;3;102;13;T;CP;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Physik, Chemie, Biologie;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Physik, Chemie, Biologie;2016-01-29 15:49:17;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Physik, Chemie, Biologie;**;****;*****;********;**;**;**;3
40;3;102;14;S;SG;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Sozial- u. Gesundheitswesen;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Sozial- u. Gesundheitswesen;2016-01-29 15:49:22;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Sozial- u. Gesundheitswesen;**;****;*****;********;**;**;**;3
40;3;102;15;T;TB;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Textiltechnik und Bekleidung;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Textiltechnik und Bekleidung;2016-01-29 15:49:24;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Textiltechnik und Bekleidung;**;****;*****;********;**;**;**;3
40;3;102;16;T;VT;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Vermessungstechnik;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Vermessungstechnik;2016-01-29 15:49:26;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Vermessungstechnik;**;****;*****;********;**;**;**;3
40;3;102;17;W;WV;90;Ausgelaufen;Schüler in berufsvorb. Maßnahmen der AV u. freier Träger - Wirtschaft und Verwaltung;Schülerinnen in berufsvorb. Maßnahmen der AV u. freier Träger - Wirtschaft und Verwaltung;2016-01-29 15:49:29;Schüler/-innen in berufsvorb. Maßn. der AV u. freier Träger - Wirtschaft und Verwaltung;**;****;*****;********;**;**;**;3
40;3;103;01;A;AW;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Agrarwirtschaft;Schülerinnen ohne Arbeitsverhältnis - Agrarwirtschaft;2016-01-29 15:49:33;Schüler/-innen ohne Arbeitsverhältnis - Agrarwirtschaft;**;****;*****;********;**;**;**;3
40;3;103;02;T;BT;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Bautechnik;Schülerinnen ohne Arbeitsverhältnis - Bautechnik;2016-01-29 15:49:36;Schüler/-innen ohne Arbeitsverhältnis - Bautechnik;**;****;*****;********;**;**;**;3
40;3;103;03;T;DT;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Drucktechnik;Schülerinnen ohne Arbeitsverhältnis - Drucktechnik;2016-01-29 15:49:38;Schüler/-innen ohne Arbeitsverhältnis - Drucktechnik;**;****;*****;********;**;**;**;3
40;3;103;04;T;ET;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Elektrotechnik;Schülerinnen ohne Arbeitsverhältnis - Elektrotechnik;2016-01-29 15:49:40;Schüler/-innen ohne Arbeitsverhältnis - Elektrotechnik;**;****;*****;********;**;**;**;3
40;3;103;05;E;EH;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Ernährung und Hauswirtschaft;Schülerinnen ohne Arbeitsverhältnis - Ernährung und Hauswirtschaft;2016-01-29 15:49:42;Schüler/-innen ohne Arbeitsverhältnis - Ernährung und Hauswirtschaft;**;****;*****;********;**;**;**;3
40;3;103;18;T;FT;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Fahrzeugtechnik;Schülerinnen ohne Arbeitsverhältnis - Fahrzeugtechnik;2016-01-29 15:50:55;Schüler/-innen ohne Arbeitsverhältnis - Fahrzeugtechnik;**;****;*****;********;**;**;**;3
40;3;103;06;G;FR;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Farbtechnik und Raumgestaltung;Schülerinnen ohne Arbeitsverhältnis - Farbtechnik und Raumgestaltung;2016-01-29 15:49:46;Schüler/-innen ohne Arbeitsverhältnis - Farbtechnik und Raumgestaltung;**;****;*****;********;**;**;**;3
40;3;103;07;T;HT;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Holztechnik;Schülerinnen ohne Arbeitsverhältnis - Holztechnik;2016-01-29 15:49:50;Schüler/-innen ohne Arbeitsverhältnis - Holztechnik;**;****;*****;********;**;**;**;3
40;3;103;08;T;IT;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Informations- und Telekommunikationstechnik;Schülerinnen ohne Arbeitsverhältnis - Informations- und Telekommunikationstechnik;2016-01-29 15:49:53;Schüler/-innen ohne Arbeitsverhältnis - Informations- und Telekommunikationstechnik;**;****;*****;********;**;**;**;3
40;3;103;09;S;KP;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Körperpflege;Schülerinnen ohne Arbeitsverhältnis - Körperpflege;2016-01-29 15:49:55;Schüler/-innen ohne Arbeitsverhältnis - Körperpflege;**;****;*****;********;**;**;**;3
40;3;103;10;T;MM;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Medien/Medientechnologie;Schülerinnen ohne Arbeitsverhältnis - Medien/Medientechnologie;2016-01-29 15:50:00;Schüler/-innen ohne Arbeitsverhältnis - Medien/Medientechnologie;**;****;*****;********;**;**;**;3
40;3;103;11;T;MZ;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Medizintechnik;Schülerinnen ohne Arbeitsverhältnis - Medizintechnik;2016-01-29 15:50:12;Schüler/-innen ohne Arbeitsverhältnis - Medizintechnik;**;****;*****;********;**;**;**;3
40;3;103;12;T;MT;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Metalltechnik;Schülerinnen ohne Arbeitsverhältnis - Metalltechnik;2016-01-29 15:50:43;Schüler/-innen ohne Arbeitsverhältnis - Metalltechnik;**;****;*****;********;**;**;**;3
40;3;103;13;T;CP;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Physik, Chemie, Biologie;Schülerinnen ohne Arbeitsverhältnis - Physik, Chemie, Biologie;2016-01-29 15:50:45;Schüler/-innen ohne Arbeitsverhältnis - Physik, Chemie, Biologie;**;****;*****;********;**;**;**;3
40;3;103;14;S;SG;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Sozial- und Gesundheitswesen;Schülerinnen ohne Arbeitsverhältnis - Sozial- und Gesundheitswesen;2016-01-29 15:50:47;Schüler/-innen ohne Arbeitsverhältnis - Sozial- und Gesundheitswesen;**;****;*****;********;**;**;**;3
40;3;103;15;T;TB;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Textiltechnik und Bekleidung;Schülerinnen ohne Arbeitsverhältnis - Textiltechnik und Bekleidung;2016-01-29 15:50:49;Schüler/-innen ohne Arbeitsverhältnis - Textiltechnik und Bekleidung;**;****;*****;********;**;**;**;3
40;3;103;16;T;VT;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Vermessungstechnik;Schülerinnen ohne Arbeitsverhältnis - Vermessungstechnik;2016-01-29 15:50:51;Schüler/-innen ohne Arbeitsverhältnis - Vermessungstechnik;**;****;*****;********;**;**;**;3
40;3;103;17;W;WV;100;Ausgelaufen;Schüler ohne Arbeitsverhältnis - Wirtschaft und Verwaltung;Schülerinnen ohne Arbeitsverhältnis - Wirtschaft und Verwaltung;2016-01-29 15:50:53;Schüler/-innen ohne Arbeitsverhältnis - Wirtschaft und Verwaltung;**;****;*****;********;**;**;**;3
40;3;104;01;A;AW;110;Ausgelaufen;Werkstattjahr - Agrarwirtschaft;Werkstattjahr - Agrarwirtschaft;2016-01-29 15:50:57;Werkstattjahr - Agrarwirtschaft;**;****;*****;********;**;**;**;3
40;3;104;02;T;BT;110;Ausgelaufen;Werkstattjahr - Bautechnik;Werkstattjahr - Bautechnik;2016-01-29 15:50:59;Werkstattjahr - Bautechnik;**;****;*****;********;**;**;**;3
40;3;104;03;T;DT;110;Ausgelaufen;Werkstattjahr - Drucktechnik;Werkstattjahr - Drucktechnik;2016-01-29 15:51:01;Werkstattjahr - Drucktechnik;**;****;*****;********;**;**;**;3
40;3;104;04;T;ET;110;Ausgelaufen;Werkstattjahr - Elektrotechnik;Werkstattjahr - Elektrotechnik;2016-01-29 15:51:03;Werkstattjahr - Elektrotechnik;**;****;*****;********;**;**;**;3
40;3;104;05;E;EH;110;Ausgelaufen;Werkstattjahr - Ernährung und Hauswirtschaft;Werkstattjahr - Ernährung und Hauswirtschaft;2016-01-29 15:51:04;Werkstattjahr - Ernährung und Hauswirtschaft;**;****;*****;********;**;**;**;3
40;3;104;18;T;FT;110;Ausgelaufen;Werkstattjahr - Fahrzeugtechnik;Werkstattjahr - Fahrzeugtechnik;2016-01-29 15:51:38;Werkstattjahr - Fahrzeugtechnik;**;****;*****;********;**;**;**;3
40;3;104;06;G;FR;110;Ausgelaufen;Werkstattjahr - Farbtechnik und Raumgestaltung;Werkstattjahr - Farbtechnik und Raumgestaltung;2016-01-29 15:51:13;Werkstattjahr - Farbtechnik und Raumgestaltung;**;****;*****;********;**;**;**;3
40;3;104;07;T;HT;110;Ausgelaufen;Werkstattjahr - Holztechnik;Werkstattjahr - Holztechnik;2016-01-29 15:51:08;Werkstattjahr - Holztechnik;**;****;*****;********;**;**;**;3
40;3;104;08;T;IT;110;Ausgelaufen;Werkstattjahr - Informations- und Telekommunikationstechnik;Werkstattjahr - Informations- und Telekommunikationstechnik;2016-01-29 15:51:15;Werkstattjahr - Informations- und Telekommunikationstechnik;**;****;*****;********;**;**;**;3
40;3;104;09;S;KP;110;Ausgelaufen;Werkstattjahr - Körperpflege;Werkstattjahr - Körperpflege;2016-01-29 15:51:17;Werkstattjahr - Körperpflege;**;****;*****;********;**;**;**;3
40;3;104;10;T;MM;110;Ausgelaufen;Werkstattjahr - Medien/Medientechnologie;Werkstattjahr - Medien/Medientechnologie;2016-01-29 15:51:19;Werkstattjahr - Medien/Medientechnologie;**;****;*****;********;**;**;**;3
